id,dataset_id,full_disk_image_id,crop_filename,storage_bucket,storage_path,full_disk_filename,crop_index,date_obs,z_class,p_class,c_class,mcintosh_full,pred_z,pred_p,pred_c,pred_mcintosh_full,noaa,lat,lon,carrington_lo,extension_ll,area,mag_class,num_spots_srs,orig_w,orig_h,square_size,yolo_conf
b377b89f-f5ef-5a75-a132-83d7c2ba9379,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,5bb76a6c-1037-5979-a4d3-7322497a480e,hmi_20100329_0000_1059_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100329_0000_1059_0.png,hmi_20100329.png,0,2010-03-29,H,a,x,Hax,A,x,x,Axx,1059,-22.0,-61.0,265.0,2.0,100.0,Alpha,1,49,55,224,0.8765270113945007
e04c582c-f7cb-5a27-b91b-c49ea7b18e1f,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,5bb76a6c-1037-5979-a4d3-7322497a480e,hmi_20100329_0000_1057_1.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100329_0000_1057_1.png,hmi_20100329.png,1,2010-03-29,E,k,i,Eki,B,x,o,Bxo,1057,15.0,-4.0,322.0,11.0,410.0,Beta,12,114,61,224,0.8124130368232727
44fb81ed-e04e-5301-aa0d-4784bdb2203f,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,fed780cb-b34f-5d1f-882f-7ce33b20a576,hmi_20100407_0000_1061_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100407_0000_1061_0.png,hmi_20100407.png,0,2010-04-07,D,s,o,Dso,A,x,x,Axx,1061,14.0,24.0,232.0,6.0,110.0,Beta,6,85,57,224,0.8060141801834106
421a8307-007a-59a4-bb35-4412df48e9b7,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,3676bf5a-9145-52f3-b898-ef4436dcc5c7,hmi_20100408_0000_1061_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100408_0000_1061_0.png,hmi_20100408.png,0,2010-04-08,D,s,o,Dso,A,x,x,Axx,1061,13.0,39.0,234.0,7.0,70.0,Beta,4,83,58,224,0.8458696007728577
485d2921-b301-5212-b00d-eefd1d0d89a4,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,d32c8858-9a19-54ac-b9ff-bd075bf421c4,hmi_20100501_0000_1064_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100501_0000_1064_0.png,hmi_20100501.png,0,2010-05-01,B,x,o,Bxo,H,x,x,Hxx,1064,15.0,-28.0,223.0,2.0,20.0,Beta,2,44,43,224,0.3843020498752594
626f903f-2696-5b44-999b-617317a89258,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,e6c4618c-e05d-5985-a9de-37c2e4c73abf,hmi_20100503_0000_1066_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100503_0000_1066_0.png,hmi_20100503.png,0,2010-05-03,A,x,x,Axx,A,x,x,Axx,1066,-27.0,-16.0,209.0,1.0,0.0,Alpha,1,44,44,224,0.7597411870956421
c7668281-bac3-5de3-a415-2408b1967560,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,e6c4618c-e05d-5985-a9de-37c2e4c73abf,hmi_20100503_0000_1067_1.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100503_0000_1067_1.png,hmi_20100503.png,1,2010-05-03,B,x,o,Bxo,H,x,x,Hxx,1067,23.0,-55.0,170.0,5.0,20.0,Beta,4,57,45,224,0.744143545627594
cdde7163-06b5-564d-8a21-f80a7e3fc50f,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,f4d1d9eb-8aea-5969-8615-ee0b58e3b57c,hmi_20100504_0000_1067_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100504_0000_1067_0.png,hmi_20100504.png,0,2010-05-04,C,s,o,Cso,H,x,x,Hxx,1067,23.0,-38.0,174.0,4.0,20.0,Beta,2,67,44,224,0.4734440147876739
7fc935ea-2cb0-5f07-81f2-2bd55081589e,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,f4d1d9eb-8aea-5969-8615-ee0b58e3b57c,hmi_20100504_0000_1066_1.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100504_0000_1066_1.png,hmi_20100504.png,1,2010-05-04,C,r,o,Cro,D,h,o,Dho,1066,-27.0,-5.0,207.0,5.0,20.0,Beta,5,43,43,224,0.3618741631507873
2d1e646c-754c-5d35-b7d3-5343ac64d7f5,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,a9d72e43-edf0-5f12-a6eb-a99b4125f1a0,hmi_20100505_0000_1069_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100505_0000_1069_0.png,hmi_20100505.png,0,2010-05-05,D,a,i,Dai,H,x,x,Hxx,1069,42.0,27.0,225.0,7.0,50.0,Beta-Gamma,9,69,50,224,0.7986920475959778
